"month","Models","values"
2019-10-01,"Model predicted",88.2397348561052
2019-11-01,"Model predicted",88.8163553901241
2019-12-01,"Model predicted",89.3967439685597
2020-01-01,"Model predicted",89.9809252144662
2020-02-01,"Model predicted",90.5689239118024
2020-03-01,"Model predicted",50.9595963872857
2020-04-01,"Model predicted",51.5008970597041
2020-05-01,"Model predicted",52.0479475111383
2020-06-01,"Model predicted",52.6008088166256
2020-07-01,"Model predicted",53.1595426999516
2020-08-01,"Model predicted",53.7242115405416
2020-09-01,"Model predicted",61.7522420840678
2020-10-01,"Model predicted",63.7546342415923
2020-11-01,"Model predicted",65.8219564197475
2020-12-01,"Model predicted",67.9563140540563
2021-01-01,"Model predicted",70.1598808513697
2021-02-01,"Model predicted",72.4349010036482
2021-03-01,"Model predicted",74.7836914735278
2021-04-01,"Model predicted",77.2086443539992
2021-05-01,"Model predicted",79.7122293046001
2021-06-01,"Model predicted",82.2969960666073
2021-07-01,"Model predicted",84.9655770597842
2021-08-01,"Model predicted",87.720690063332
2021-09-01,"Model predicted",90.5651409837749
2021-10-01,"Model predicted",93.5018267125964
2021-11-01,"Model predicted",96.5337380765372
2021-12-01,"Model predicted",99.6639628835624
2022-01-01,"Model predicted",102.895689067596
2022-02-01,"Model predicted",106.232207935227
2022-03-01,"Model predicted",109.676917517697
2019-10-01,"Adjusted for seasonality",97.4268733667852
2019-11-01,"Adjusted for seasonality",90.3908631678757
2019-12-01,"Adjusted for seasonality",84.2495856823159
2020-01-01,"Adjusted for seasonality",79.2567152494297
2020-02-01,"Adjusted for seasonality",75.6810117167417
2020-03-01,"Adjusted for seasonality",73.3170008140697
2020-04-01,"Adjusted for seasonality",71.7070057041775
2020-05-01,"Adjusted for seasonality",70.393349549829
2020-06-01,"Adjusted for seasonality",70.7512934003393
2020-07-01,"Adjusted for seasonality",73.2181378087546
2020-08-01,"Adjusted for seasonality",75.9292651934356
2020-09-01,"Adjusted for seasonality",77.0200579727427
2020-10-01,"Adjusted for seasonality",77.1553032845296
2020-11-01,"Adjusted for seasonality",77.2490784452733
2020-12-01,"Adjusted for seasonality",75.8107011412697
2021-01-01,"Adjusted for seasonality",69.0423904013649
2021-02-01,"Adjusted for seasonality",57.498762947566
2021-03-01,"Adjusted for seasonality",46.2177330059116
2021-04-01,"Adjusted for seasonality",40.2372148024401
2021-05-01,"Adjusted for seasonality",38.9050843540409
2021-06-01,"Adjusted for seasonality",39.179587706467
2021-07-01,"Adjusted for seasonality",42.5141941290518
2021-08-01,"Adjusted for seasonality",50.3623728911285
2021-09-01,"Adjusted for seasonality",62.4989417388807
2021-10-01,"Adjusted for seasonality",77.801441897944
2021-11-01,"Adjusted for seasonality",96.3774278568301
2021-12-01,"Adjusted for seasonality",118.334454104051
2022-01-01,"Adjusted for seasonality",143.714295458188
2022-02-01,"Adjusted for seasonality",172.451517130641
2022-03-01,"Adjusted for seasonality",204.492859199157
2019-10-01,"Counterfactual",88.2397348561052
2019-11-01,"Counterfactual",88.8163553901241
2019-12-01,"Counterfactual",89.3967439685597
2020-01-01,"Counterfactual",89.9809252144662
2020-02-01,"Counterfactual",90.5689239118024
2020-03-01,"Counterfactual",91.1607650064828
2020-04-01,"Counterfactual",91.756473607436
2020-05-01,"Counterfactual",92.35607498767
2020-06-01,"Counterfactual",92.9595945853448
2020-07-01,"Counterfactual",93.5670580048507
2020-08-01,"Counterfactual",94.1784910178954
2020-09-01,"Counterfactual",94.7939195645971
2020-10-01,"Counterfactual",95.4133697545849
2020-11-01,"Counterfactual",96.0368678681065
2020-12-01,"Counterfactual",96.6644403571435
2021-01-01,"Counterfactual",97.2961138465332
2021-02-01,"Counterfactual",97.9319151350983
2021-03-01,"Counterfactual",98.5718711967839
2021-04-01,"Counterfactual",99.2160091818019
2021-05-01,"Counterfactual",99.8643564177827
2021-06-01,"Counterfactual",100.516940410935
2021-07-01,"Counterfactual",101.173788847211
2021-08-01,"Counterfactual",101.834929593486
2021-09-01,"Counterfactual",102.500390698732
2021-10-01,"Counterfactual",103.170200395216
2021-11-01,"Counterfactual",103.844387099695
2021-12-01,"Counterfactual",104.522979414619
2022-01-01,"Counterfactual",105.206006129348
2022-02-01,"Counterfactual",105.893496221371
2022-03-01,"Counterfactual",106.585478857537
